system:index,date,timestamp,.geo
203,2017-05-13,1.494654822248E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,2017-05-13,1.49465486301E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,2017-05-14,1.49472024E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,2017-05-14,1.494720265E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,2017-05-18,1.495087239215E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,2017-05-18,1.495087279977E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,2017-05-20,1.495324553E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,2017-05-20,1.495324578E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,2017-05-23,1.495541531E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,2017-05-26,1.49575704E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,2017-05-26,1.495757065E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,2017-06-01,1.496361353E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,2017-06-01,1.496361378E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,2017-06-04,1.496578332E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,2017-06-07,1.496793841E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,2017-06-07,1.496793866E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,2017-06-19,1.497830642E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,2017-06-19,1.497830667E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,2017-06-24,1.498283622462E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,2017-06-24,1.498283663224E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,2017-06-28,1.498651933E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,2017-06-29,1.498716039516E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,2017-06-29,1.498716080279E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,2017-07-01,1.498867442E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,2017-07-01,1.498867467E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,2017-07-10,1.499688734E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,2017-07-22,1.50070282219E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,2017-07-22,1.500702862946E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,2017-07-22,1.500725535E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,2017-07-25,1.500941044E12,"{""type"":""MultiPoint"",""coordinates"":[]}"
